##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.0.23  ; E:12  ; A:12.3   ; M:0.0.0   
H:0.4.14  ; E:16  ; A:16.26  ; M:0.5.7   
H:0.4.11  ; E:16  ; A:16.39  ; M:0.5.8   
H:0.6.28  ; E:18  ; A:18.8   ; M:0.5.9   
H:0.6.14  ; E:18  ; A:18.26  ; M:0.5.10  
H:0.6.11  ; E:18  ; A:18.39  ; M:0.5.11  
H:0.8.28  ; E:20  ; A:20.8   ; M:0.5.12  
# Column 6:
H:0.0.18  ; E:12  ; A:12.14  ; M:0.6.0   
H:0.0.15  ; E:12  ; A:12.27  ; M:0.6.1   
H:0.0.0   ; E:12  ; A:12.45  ; M:0.6.2   
H:0.2.18  ; E:14  ; A:14.14  ; M:0.6.3   
H:0.2.15  ; E:14  ; A:14.27  ; M:0.6.4   
H:0.2.0   ; E:14  ; A:14.45  ; M:0.6.5   
H:0.4.18  ; E:16  ; A:16.14  ; M:0.6.6   
H:0.4.15  ; E:16  ; A:16.27  ; M:0.6.7   
H:0.4.0   ; E:16  ; A:16.45  ; M:0.6.8   
H:0.6.18  ; E:18  ; A:18.14  ; M:0.6.9   
H:0.6.15  ; E:18  ; A:18.27  ; M:0.6.10  
H:0.6.0   ; E:18  ; A:18.45  ; M:0.6.11  
H:0.8.18  ; E:20  ; A:20.14  ; M:0.6.12  
# Column 7:
H:0.0.19  ; E:12  ; A:12.15  ; M:0.7.0   
H:0.0.16  ; E:12  ; A:12.28  ; M:0.7.1   
H:0.0.1   ; E:12  ; A:12.46  ; M:0.7.2   
H:0.2.19  ; E:14  ; A:14.15  ; M:0.7.3   
H:0.2.16  ; E:14  ; A:14.28  ; M:0.7.4   
H:0.2.1   ; E:14  ; A:14.46  ; M:0.7.5   
H:0.4.19  ; E:16  ; A:16.15  ; M:0.7.6   
H:0.4.16  ; E:16  ; A:16.28  ; M:0.7.7   
H:0.4.1   ; E:16  ; A:16.46  ; M:0.7.8   
H:0.6.19  ; E:18  ; A:18.15  ; M:0.7.9   
H:0.6.16  ; E:18  ; A:18.28  ; M:0.7.10  
H:0.6.1   ; E:18  ; A:18.46  ; M:0.7.11  
H:0.8.19  ; E:20  ; A:20.15  ; M:0.7.12  
# Column 8:
H:0.0.20  ; E:12  ; A:12.16  ; M:0.8.0   
H:0.0.17  ; E:12  ; A:12.29  ; M:0.8.1   
H:0.0.2   ; E:12  ; A:12.47  ; M:0.8.2   
H:0.2.20  ; E:14  ; A:14.16  ; M:0.8.3   
H:0.2.17  ; E:14  ; A:14.29  ; M:0.8.4   
H:0.2.2   ; E:14  ; A:14.47  ; M:0.8.5   
H:0.4.20  ; E:16  ; A:16.16  ; M:0.8.6   
H:0.4.17  ; E:16  ; A:16.29  ; M:0.8.7   
H:0.4.2   ; E:16  ; A:16.47  ; M:0.8.8   
H:0.6.20  ; E:18  ; A:18.16  ; M:0.8.9   
H:0.6.17  ; E:18  ; A:18.29  ; M:0.8.10  
H:0.6.2   ; E:18  ; A:18.47  ; M:0.8.11  
H:0.8.20  ; E:20  ; A:20.16  ; M:0.8.12  
# Column 9:
H:0.0.21  ; E:12  ; A:12.17  ; M:0.9.0   
H:0.0.31  ; E:12  ; A:12.30  ; M:0.9.1   
H:0.0.3   ; E:12  ; A:12.48  ; M:0.9.2   
H:0.2.21  ; E:14  ; A:14.17  ; M:0.9.3   
H:0.2.31  ; E:14  ; A:14.30  ; M:0.9.4   
H:0.2.3   ; E:14  ; A:14.48  ; M:0.9.5   
H:0.4.21  ; E:16  ; A:16.17  ; M:0.9.6   
H:0.4.31  ; E:16  ; A:16.30  ; M:0.9.7   
H:0.4.3   ; E:16  ; A:16.48  ; M:0.9.8   
H:0.6.21  ; E:18  ; A:18.17  ; M:0.9.9   
H:0.6.31  ; E:18  ; A:18.30  ; M:0.9.10  
H:0.6.3   ; E:18  ; A:18.48  ; M:0.9.11  
H:0.8.21  ; E:20  ; A:20.17  ; M:0.9.12  
# Column 10:
H:0.1.23  ; E:13  ; A:13.3   ; M:0.10.0  
H:0.1.22  ; E:13  ; A:13.18  ; M:0.10.1  
H:0.1.6   ; E:13  ; A:13.34  ; M:0.10.2  
H:0.3.23  ; E:15  ; A:15.3   ; M:0.10.3  
H:0.3.22  ; E:15  ; A:15.18  ; M:0.10.4  
H:0.3.6   ; E:15  ; A:15.34  ; M:0.10.5  
H:0.5.23  ; E:17  ; A:17.3   ; M:0.10.6  
H:0.5.22  ; E:17  ; A:17.18  ; M:0.10.7  
H:0.5.6   ; E:17  ; A:17.34  ; M:0.10.8  
H:0.7.23  ; E:19  ; A:19.3   ; M:0.10.9  
H:0.7.22  ; E:19  ; A:19.18  ; M:0.10.10 
H:0.7.6   ; E:19  ; A:19.34  ; M:0.10.11 
H:0.8.22  ; E:20  ; A:20.18  ; M:0.10.12 
# Column 11:
H:0.1.24  ; E:13  ; A:13.4   ; M:0.11.0  
H:0.1.29  ; E:13  ; A:13.19  ; M:0.11.1  
H:0.1.7   ; E:13  ; A:13.35  ; M:0.11.2  
H:0.3.24  ; E:15  ; A:15.4   ; M:0.11.3  
H:0.3.29  ; E:15  ; A:15.19  ; M:0.11.4  
H:0.3.7   ; E:15  ; A:15.35  ; M:0.11.5  
H:0.5.24  ; E:17  ; A:17.4   ; M:0.11.6  
H:0.5.29  ; E:17  ; A:17.19  ; M:0.11.7  
H:0.5.7   ; E:17  ; A:17.35  ; M:0.11.8  
H:0.7.24  ; E:19  ; A:19.4   ; M:0.11.9  
H:0.7.29  ; E:19  ; A:19.19  ; M:0.11.10 
H:0.7.7   ; E:19  ; A:19.35  ; M:0.11.11 
H:0.8.29  ; E:20  ; A:20.19  ; M:0.11.12 
# Column 12:
H:0.1.25  ; E:13  ; A:13.5   ; M:0.12.0  
H:0.1.30  ; E:13  ; A:13.20  ; M:0.12.1  
H:0.1.8   ; E:13  ; A:13.36  ; M:0.12.2  
H:0.3.25  ; E:15  ; A:15.5   ; M:0.12.3  
H:0.3.30  ; E:15  ; A:15.20  ; M:0.12.4  
H:0.3.8   ; E:15  ; A:15.36  ; M:0.12.5  
H:0.5.25  ; E:17  ; A:17.5   ; M:0.12.6  
H:0.5.30  ; E:17  ; A:17.20  ; M:0.12.7  
H:0.5.8   ; E:17  ; A:17.36  ; M:0.12.8  
H:0.7.25  ; E:19  ; A:19.5   ; M:0.12.9  
H:0.7.30  ; E:19  ; A:19.20  ; M:0.12.10 
H:0.7.8   ; E:19  ; A:19.36  ; M:0.12.11 
H:0.8.30  ; E:20  ; A:20.20  ; M:0.12.12 
# Column 13:
H:0.1.26  ; E:13  ; A:13.6   ; M:0.13.0  
H:0.1.12  ; E:13  ; A:13.24  ; M:0.13.1  
H:0.1.9   ; E:13  ; A:13.37  ; M:0.13.2  
H:0.3.26  ; E:15  ; A:15.6   ; M:0.13.3  
H:0.3.12  ; E:15  ; A:15.24  ; M:0.13.4  
H:0.3.9   ; E:15  ; A:15.37  ; M:0.13.5  
H:0.5.26  ; E:17  ; A:17.6   ; M:0.13.6  
H:0.5.12  ; E:17  ; A:17.24  ; M:0.13.7  
H:0.5.9   ; E:17  ; A:17.37  ; M:0.13.8  
H:0.7.26  ; E:19  ; A:19.6   ; M:0.13.9  
H:0.7.12  ; E:19  ; A:19.24  ; M:0.13.10 
H:0.7.9   ; E:19  ; A:19.37  ; M:0.13.11 
H:0.8.12  ; E:20  ; A:20.24  ; M:0.13.12 
# Column 14:
H:0.1.27  ; E:13  ; A:13.7   ; M:0.14.0  
H:0.1.13  ; E:13  ; A:13.25  ; M:0.14.1  
H:0.1.10  ; E:13  ; A:13.38  ; M:0.14.2  
H:0.3.27  ; E:15  ; A:15.7   ; M:0.14.3  
H:0.3.13  ; E:15  ; A:15.25  ; M:0.14.4  
H:0.3.10  ; E:15  ; A:15.38  ; M:0.14.5  
H:0.5.27  ; E:17  ; A:17.7   ; M:0.14.6  
H:0.5.13  ; E:17  ; A:17.25  ; M:0.14.7  
H:0.5.10  ; E:17  ; A:17.38  ; M:0.14.8  
H:0.7.27  ; E:19  ; A:19.7   ; M:0.14.9  
H:0.7.13  ; E:19  ; A:19.25  ; M:0.14.10 
H:0.7.10  ; E:19  ; A:19.38  ; M:0.14.11 
H:0.8.13  ; E:20  ; A:20.25  ; M:0.14.12 
# Column 15:
H:0.1.28  ; E:13  ; A:13.8   ; M:0.15.0  
H:0.1.14  ; E:13  ; A:13.26  ; M:0.15.1  
H:0.1.11  ; E:13  ; A:13.39  ; M:0.15.2  
H:0.3.28  ; E:15  ; A:15.8   ; M:0.15.3  
H:0.3.14  ; E:15  ; A:15.26  ; M:0.15.4  
H:0.3.11  ; E:15  ; A:15.39  ; M:0.15.5  
H:0.5.28  ; E:17  ; A:17.8   ; M:0.15.6  
H:0.5.14  ; E:17  ; A:17.26  ; M:0.15.7  
H:0.5.11  ; E:17  ; A:17.39  ; M:0.15.8  
H:0.7.28  ; E:19  ; A:19.8   ; M:0.15.9  
H:0.7.14  ; E:19  ; A:19.26  ; M:0.15.10 
H:0.7.11  ; E:19  ; A:19.39  ; M:0.15.11 
H:0.8.14  ; E:20  ; A:20.26  ; M:0.15.12 
# Column 16:
H:0.1.18  ; E:13  ; A:13.14  ; M:0.16.0  
H:0.1.15  ; E:13  ; A:13.27  ; M:0.16.1  
H:0.1.0   ; E:13  ; A:13.45  ; M:0.16.2  
H:0.3.18  ; E:15  ; A:15.14  ; M:0.16.3  
H:0.3.15  ; E:15  ; A:15.27  ; M:0.16.4  
H:0.3.0   ; E:15  ; A:15.45  ; M:0.16.5  
H:0.5.18  ; E:17  ; A:17.14  ; M:0.16.6  
H:0.5.15  ; E:17  ; A:17.27  ; M:0.16.7  
H:0.5.0   ; E:17  ; A:17.45  ; M:0.16.8  
H:0.7.18  ; E:19  ; A:19.14  ; M:0.16.9  
H:0.7.15  ; E:19  ; A:19.27  ; M:0.16.10 
H:0.7.0   ; E:19  ; A:19.45  ; M:0.16.11 
H:0.8.15  ; E:20  ; A:20.27  ; M:0.16.12 
# Column 17:
H:0.1.19  ; E:13  ; A:13.15  ; M:0.17.0  
H:0.1.16  ; E:13  ; A:13.28  ; M:0.17.1  
H:0.1.1   ; E:13  ; A:13.46  ; M:0.17.2  
H:0.3.19  ; E:15  ; A:15.15  ; M:0.17.3  
H:0.3.16  ; E:15  ; A:15.28  ; M:0.17.4  
H:0.3.1   ; E:15  ; A:15.46  ; M:0.17.5  
H:0.5.19  ; E:17  ; A:17.15  ; M:0.17.6  
H:0.5.16  ; E:17  ; A:17.28  ; M:0.17.7  
H:0.5.1   ; E:17  ; A:17.46  ; M:0.17.8  
H:0.7.19  ; E:19  ; A:19.15  ; M:0.17.9  
H:0.7.16  ; E:19  ; A:19.28  ; M:0.17.10 
H:0.7.1   ; E:19  ; A:19.46  ; M:0.17.11 
H:0.8.16  ; E:20  ; A:20.28  ; M:0.17.12 
# Column 18:
H:0.1.20  ; E:13  ; A:13.16  ; M:0.18.0  
H:0.1.17  ; E:13  ; A:13.29  ; M:0.18.1  
H:0.1.2   ; E:13  ; A:13.47  ; M:0.18.2  
H:0.3.20  ; E:15  ; A:15.16  ; M:0.18.3  
H:0.3.17  ; E:15  ; A:15.29  ; M:0.18.4  
H:0.3.2   ; E:15  ; A:15.47  ; M:0.18.5  
H:0.5.20  ; E:17  ; A:17.16  ; M:0.18.6  
H:0.5.17  ; E:17  ; A:17.29  ; M:0.18.7  
H:0.5.2   ; E:17  ; A:17.47  ; M:0.18.8  
H:0.7.20  ; E:19  ; A:19.16  ; M:0.18.9  
H:0.7.17  ; E:19  ; A:19.29  ; M:0.18.10 
H:0.7.2   ; E:19  ; A:19.47  ; M:0.18.11 
H:0.8.17  ; E:20  ; A:20.29  ; M:0.18.12 
# Column 19:
H:0.1.21  ; E:13  ; A:13.17  ; M:0.19.0  
H:0.1.31  ; E:13  ; A:13.30  ; M:0.19.1  
H:0.1.3   ; E:13  ; A:13.48  ; M:0.19.2  
H:0.3.21  ; E:15  ; A:15.17  ; M:0.19.3  
H:0.3.31  ; E:15  ; A:15.30  ; M:0.19.4  
H:0.3.3   ; E:15  ; A:15.48  ; M:0.19.5  
H:0.5.21  ; E:17  ; A:17.17  ; M:0.19.6  
H:0.5.31  ; E:17  ; A:17.30  ; M:0.19.7  
H:0.5.3   ; E:17  ; A:17.48  ; M:0.19.8  
H:0.7.21  ; E:19  ; A:19.17  ; M:0.19.9  
H:0.7.31  ; E:19  ; A:19.30  ; M:0.19.10 
H:0.7.3   ; E:19  ; A:19.48  ; M:0.19.11 
H:0.8.31  ; E:20  ; A:20.30  ; M:0.19.12 
# Main wall side 1:
# Column 0:
H:1.0.23  ; E:0   ; A:0.3    ; M:1.0.0   
H:1.0.22  ; E:0   ; A:0.18   ; M:1.0.1   
H:1.0.6   ; E:0   ; A:0.34   ; M:1.0.2   
H:1.2.23  ; E:2   ; A:2.3    ; M:1.0.3   
H:1.2.22  ; E:2   ; A:2.18   ; M:1.0.4   
H:1.2.6   ; E:2   ; A:2.34   ; M:1.0.5   
H:1.4.23  ; E:4   ; A:4.3    ; M:1.0.6   
H:1.4.22  ; E:4   ; A:4.18   ; M:1.0.7   
H:1.4.6   ; E:4   ; A:4.34   ; M:1.0.8   
H:1.6.23  ; E:6   ; A:6.3    ; M:1.0.9   
H:1.6.22  ; E:6   ; A:6.18   ; M:1.0.10  
H:1.6.6   ; E:6   ; A:6.34   ; M:1.0.11  
H:1.8.23  ; E:8   ; A:8.3    ; M:1.0.12  
# Column 1:
H:1.0.24  ; E:0   ; A:0.4    ; M:1.1.0   
H:1.0.29  ; E:0   ; A:0.19   ; M:1.1.1   
H:1.0.7   ; E:0   ; A:0.35   ; M:1.1.2   
H:1.2.24  ; E:2   ; A:2.4    ; M:1.1.3   
H:1.2.29  ; E:2   ; A:2.19   ; M:1.1.4   
H:1.2.7   ; E:2   ; A:2.35   ; M:1.1.5   
H:1.4.24  ; E:4   ; A:4.4    ; M:1.1.6   
H:1.4.29  ; E:4   ; A:4.19   ; M:1.1.7   
H:1.4.7   ; E:4   ; A:4.35   ; M:1.1.8   
H:1.6.24  ; E:6   ; A:6.4    ; M:1.1.9   
H:1.6.29  ; E:6   ; A:6.19   ; M:1.1.10  
H:1.6.7   ; E:6   ; A:6.35   ; M:1.1.11  
H:1.8.24  ; E:8   ; A:8.4    ; M:1.1.12  
# Column 2:
H:1.0.25  ; E:0   ; A:0.5    ; M:1.2.0   
H:1.0.30  ; E:0   ; A:0.20   ; M:1.2.1   
H:1.0.8   ; E:0   ; A:0.36   ; M:1.2.2   
H:1.2.25  ; E:2   ; A:2.5    ; M:1.2.3   
H:1.2.30  ; E:2   ; A:2.20   ; M:1.2.4   
H:1.2.8   ; E:2   ; A:2.36   ; M:1.2.5   
H:1.4.25  ; E:4   ; A:4.5    ; M:1.2.6   
H:1.4.30  ; E:4   ; A:4.20   ; M:1.2.7   
H:1.4.8   ; E:4   ; A:4.36   ; M:1.2.8   
H:1.6.25  ; E:6   ; A:6.5    ; M:1.2.9   
H:1.6.30  ; E:6   ; A:6.20   ; M:1.2.10  
H:1.6.8   ; E:6   ; A:6.36   ; M:1.2.11  
H:1.8.25  ; E:8   ; A:8.5    ; M:1.2.12  
# Column 3:
H:1.0.26  ; E:0   ; A:0.6    ; M:1.3.0   
H:1.0.12  ; E:0   ; A:0.24   ; M:1.3.1   
H:1.0.9   ; E:0   ; A:0.37   ; M:1.3.2   
H:1.2.26  ; E:2   ; A:2.6    ; M:1.3.3   
H:1.2.12  ; E:2   ; A:2.24   ; M:1.3.4   
H:1.2.9   ; E:2   ; A:2.37   ; M:1.3.5   
H:1.4.26  ; E:4   ; A:4.6    ; M:1.3.6   
H:1.4.12  ; E:4   ; A:4.24   ; M:1.3.7   
H:1.4.9   ; E:4   ; A:4.37   ; M:1.3.8   
H:1.6.26  ; E:6   ; A:6.6    ; M:1.3.9   
H:1.6.12  ; E:6   ; A:6.24   ; M:1.3.10  
H:1.6.9   ; E:6   ; A:6.37   ; M:1.3.11  
H:1.8.26  ; E:8   ; A:8.6    ; M:1.3.12  
# Column 4:
H:1.0.27  ; E:0   ; A:0.7    ; M:1.4.0   
H:1.0.13  ; E:0   ; A:0.25   ; M:1.4.1   
H:1.0.10  ; E:0   ; A:0.38   ; M:1.4.2   
H:1.2.27  ; E:2   ; A:2.7    ; M:1.4.3   
H:1.2.13  ; E:2   ; A:2.25   ; M:1.4.4   
H:1.2.10  ; E:2   ; A:2.38   ; M:1.4.5   
H:1.4.27  ; E:4   ; A:4.7    ; M:1.4.6   
H:1.4.13  ; E:4   ; A:4.25   ; M:1.4.7   
H:1.4.10  ; E:4   ; A:4.38   ; M:1.4.8   
H:1.6.27  ; E:6   ; A:6.7    ; M:1.4.9   
H:1.6.13  ; E:6   ; A:6.25   ; M:1.4.10  
H:1.6.10  ; E:6   ; A:6.38   ; M:1.4.11  
H:1.8.27  ; E:8   ; A:8.7    ; M:1.4.12  
# Column 5:
H:1.0.28  ; E:0   ; A:0.8    ; M:1.5.0   
H:1.0.14  ; E:0   ; A:0.26   ; M:1.5.1   
H:1.0.11  ; E:0   ; A:0.39   ; M:1.5.2   
H:1.2.28  ; E:2   ; A:2.8    ; M:1.5.3   
H:1.2.14  ; E:2   ; A:2.26   ; M:1.5.4   
H:1.2.11  ; E:2   ; A:2.39   ; M:1.5.5   
H:1.4.28  ; E:4   ; A:4.8    ; M:1.5.6   
H:1.4.14  ; E:4   ; A:4.26   ; M:1.5.7   
H:1.4.11  ; E:4   ; A:4.39   ; M:1.5.8   
H:1.6.28  ; E:6   ; A:6.8    ; M:1.5.9   
H:1.6.14  ; E:6   ; A:6.26   ; M:1.5.10  
H:1.6.11  ; E:6   ; A:6.39   ; M:1.5.11  
H:1.8.28  ; E:8   ; A:8.8    ; M:1.5.12  
# Column 6:
H:1.0.18  ; E:0   ; A:0.14   ; M:1.6.0   
H:1.0.15  ; E:0   ; A:0.27   ; M:1.6.1   
H:1.0.0   ; E:0   ; A:0.45   ; M:1.6.2   
H:1.2.18  ; E:2   ; A:2.14   ; M:1.6.3   
H:1.2.15  ; E:2   ; A:2.27   ; M:1.6.4   
H:1.2.0   ; E:2   ; A:2.45   ; M:1.6.5   
H:1.4.18  ; E:4   ; A:4.14   ; M:1.6.6   
H:1.4.15  ; E:4   ; A:4.27   ; M:1.6.7   
H:1.4.0   ; E:4   ; A:4.45   ; M:1.6.8   
H:1.6.18  ; E:6   ; A:6.14   ; M:1.6.9   
H:1.6.15  ; E:6   ; A:6.27   ; M:1.6.10  
H:1.6.0   ; E:6   ; A:6.45   ; M:1.6.11  
H:1.8.18  ; E:8   ; A:8.14   ; M:1.6.12  
# Column 7:
H:1.0.19  ; E:0   ; A:0.15   ; M:1.7.0   
H:1.0.16  ; E:0   ; A:0.28   ; M:1.7.1   
H:1.0.1   ; E:0   ; A:0.46   ; M:1.7.2   
H:1.2.19  ; E:2   ; A:2.15   ; M:1.7.3   
H:1.2.16  ; E:2   ; A:2.28   ; M:1.7.4   
H:1.2.1   ; E:2   ; A:2.46   ; M:1.7.5   
H:1.4.19  ; E:4   ; A:4.15   ; M:1.7.6   
H:1.4.16  ; E:4   ; A:4.28   ; M:1.7.7   
H:1.4.1   ; E:4   ; A:4.46   ; M:1.7.8   
H:1.6.19  ; E:6   ; A:6.15   ; M:1.7.9   
H:1.6.16  ; E:6   ; A:6.28   ; M:1.7.10  
H:1.6.1   ; E:6   ; A:6.46   ; M:1.7.11  
H:1.8.19  ; E:8   ; A:8.15   ; M:1.7.12  
# Column 8:
H:1.0.20  ; E:0   ; A:0.16   ; M:1.8.0   
H:1.0.17  ; E:0   ; A:0.29   ; M:1.8.1   
H:1.0.2   ; E:0   ; A:0.47   ; M:1.8.2   
H:1.2.20  ; E:2   ; A:2.16   ; M:1.8.3   
H:1.2.17  ; E:2   ; A:2.29   ; M:1.8.4   
H:1.2.2   ; E:2   ; A:2.47   ; M:1.8.5   
H:1.4.20  ; E:4   ; A:4.16   ; M:1.8.6   
H:1.4.17  ; E:4   ; A:4.29   ; M:1.8.7   
H:1.4.2   ; E:4   ; A:4.47   ; M:1.8.8   
H:1.6.20  ; E:6   ; A:6.16   ; M:1.8.9   
H:1.6.17  ; E:6   ; A:6.29   ; M:1.8.10  
H:1.6.2   ; E:6   ; A:6.47   ; M:1.8.11  
H:1.8.20  ; E:8   ; A:8.16   ; M:1.8.12  
# Column 9:
H:1.0.21  ; E:0   ; A:0.17   ; M:1.9.0   
H:1.0.31  ; E:0   ; A:0.30   ; M:1.9.1   
H:1.0.3   ; E:0   ; A:0.48   ; M:1.9.2   
H:1.2.21  ; E:2   ; A:2.17   ; M:1.9.3   
H:1.2.31  ; E:2   ; A:2.30   ; M:1.9.4   
H:1.2.3   ; E:2   ; A:2.48   ; M:1.9.5   
H:1.4.21  ; E:4   ; A:4.17   ; M:1.9.6   
H:1.4.31  ; E:4   ; A:4.30   ; M:1.9.7   
H:1.4.3   ; E:4   ; A:4.48   ; M:1.9.8   
H:1.6.21  ; E:6   ; A:6.17   ; M:1.9.9   
H:1.6.31  ; E:6   ; A:6.30   ; M:1.9.10  
H:1.6.3   ; E:6   ; A:6.48   ; M:1.9.11  
H:1.8.21  ; E:8   ; A:8.17   ; M:1.9.12  
# Column 10:
H:1.1.23  ; E:1   ; A:1.3    ; M:1.10.0  
H:1.1.22  ; E:1   ; A:1.18   ; M:1.10.1  
H:1.1.6   ; E:1   ; A:1.34   ; M:1.10.2  
H:1.3.23  ; E:3   ; A:3.3    ; M:1.10.3  
H:1.3.22  ; E:3   ; A:3.18   ; M:1.10.4  
H:1.3.6   ; E:3   ; A:3.34   ; M:1.10.5  
H:1.5.23  ; E:5   ; A:5.3    ; M:1.10.6  
H:1.5.22  ; E:5   ; A:5.18   ; M:1.10.7  
H:1.5.6   ; E:5   ; A:5.34   ; M:1.10.8  
H:1.7.23  ; E:7   ; A:7.3    ; M:1.10.9  
H:1.7.22  ; E:7   ; A:7.18   ; M:1.10.10 
H:1.7.6   ; E:7   ; A:7.34   ; M:1.10.11 
H:1.8.22  ; E:8   ; A:8.18   ; M:1.10.12 
# Column 11:
H:1.1.24  ; E:1   ; A:1.4    ; M:1.11.0  
H:1.1.29  ; E:1   ; A:1.19   ; M:1.11.1  
H:1.1.7   ; E:1   ; A:1.35   ; M:1.11.2  
H:1.3.24  ; E:3   ; A:3.4    ; M:1.11.3  
H:1.3.29  ; E:3   ; A:3.19   ; M:1.11.4  
H:1.3.7   ; E:3   ; A:3.35   ; M:1.11.5  
H:1.5.24  ; E:5   ; A:5.4    ; M:1.11.6  
H:1.5.29  ; E:5   ; A:5.19   ; M:1.11.7  
H:1.5.7   ; E:5   ; A:5.35   ; M:1.11.8  
H:1.7.24  ; E:7   ; A:7.4    ; M:1.11.9  
H:1.7.29  ; E:7   ; A:7.19   ; M:1.11.10 
